frame,source_md_step,source_time_ps,al_slab_min_A,n_mg_lt_3p2,n_cl_lt_2p8,al_cl_min_A,al_cl_second_A
0,7000,3.5,5.476838015169122,0,2,2.194465036890652,2.348865957941377
1,7200,3.6,5.424308840960824,0,2,2.2800745001291043,2.2900388389812267
2,7400,3.7,5.1565817439218575,0,2,2.155119518857258,2.398098832564208
3,7600,3.8,4.893570407309696,0,2,2.169616570285269,2.294405277694031
4,7800,3.9,4.672889791519468,0,2,2.252899005488418,2.26272222657151
5,8000,4.0,4.348063567329205,0,2,2.1141025685008414,2.2190319490267787
6,8200,4.1,4.12628895203795,0,2,2.179947925925606,2.2495098105563187
7,8400,4.2,3.7435003781565133,0,2,2.2831635814466793,2.331232187082358
8,8450,4.225,3.817785113061319,0,2,2.429190364999213,2.564695164475074
