project,last_step,last_time_fs,last_xyz_time_fs,last_temp_K,n_xyz_frames,n_mulliken_blocks,n_hirshfeld_blocks,last_al_slabMin_A,last_al_mgMin_A,last_al_above_slab_top_A,last_nMg_slab_lt_3p0,last_nMg_slab_lt_3p2,last_nMg_all_lt_3p0,last_nMg_all_lt_3p2,last_nCl_lt_2p8,last_al_cl1_A,last_al_cl2_A,last_qAl_mulliken_e,last_qAl_hirshfeld_e,delta_qAl_mulliken_e,min_qAl_mulliken_e,min_al_mgMin_A,max_al_mgMin_A,min_al_slabMin_A,max_al_slabMin_A,min_al_above_slab_top_A,max_al_above_slab_top_A,max_nMg_slab_lt_3p2,min_nCl_lt_2p8,contact_frames,contact_low_qAl_frames,contact_low_qAl_first_fs,contact_low_qAl_last_fs,contact_low_qAl_span_fs,contact_low_qAl_longest_contiguous_fs,contact_low_qAl_current_first_fs,contact_low_qAl_current_last_fs,contact_low_qAl_current_contiguous_fs,slab_contact_frames,slab_contact_low_qAl_frames,slab_contact_low_qAl_first_fs,slab_contact_low_qAl_last_fs,slab_contact_low_qAl_span_fs,slab_contact_low_qAl_longest_contiguous_fs,slab_contact_low_qAl_current_first_fs,slab_contact_low_qAl_current_last_fs,slab_contact_low_qAl_current_contiguous_fs,near_slab_contact_frames,near_slab_contact_low_qAl_frames,near_slab_contact_low_qAl_first_fs,near_slab_contact_low_qAl_last_fs,near_slab_contact_low_qAl_span_fs,near_slab_contact_low_qAl_longest_contiguous_fs,near_slab_contact_low_qAl_current_first_fs,near_slab_contact_low_qAl_current_last_fs,near_slab_contact_low_qAl_current_contiguous_fs,near_slab_contact_low_qAl_nCl_le1_frames,near_slab_contact_low_qAl_nCl_le1_first_fs,near_slab_contact_low_qAl_nCl_le1_last_fs,near_slab_contact_low_qAl_nCl_le1_span_fs,near_slab_contact_low_qAl_nCl_le1_longest_contiguous_fs,near_slab_contact_low_qAl_nCl_le1_current_first_fs,near_slab_contact_low_qAl_nCl_le1_current_last_fs,near_slab_contact_low_qAl_nCl_le1_current_contiguous_fs,mg_coord_low_qAl_frames,mg_coord_low_qAl_first_fs,mg_coord_low_qAl_last_fs,mg_coord_low_qAl_span_fs,mg_coord_low_qAl_longest_contiguous_fs,mg_coord_low_qAl_current_first_fs,mg_coord_low_qAl_current_last_fs,mg_coord_low_qAl_current_contiguous_fs,contact_low_qAl_flag,slab_contact_low_qAl_flag,near_slab_contact_low_qAl_flag,near_slab_contact_low_qAl_nCl_le1_flag,mg_coord_low_qAl_flag,new_reduction_flag
t23_release_bare_qm2_s1_300K,43,43.0,40.0,316.295670615,5,44,44,2.7182495883168367,2.7182495883168367,-0.3200499378999986,1,2,1,2,1,2.154019185741255,3.1814841196093315,0.328091,0.648,-0.007823999999999998,0.328,2.685807848785823,2.7182495883168367,2.685807848785823,2.7182495883168367,-0.3786201067999997,-0.3200499378999986,2,1,5,0,nan,nan,0.0,0.0,nan,nan,0.0,5,0,nan,nan,0.0,0.0,nan,nan,0.0,5,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_bare_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_poly_qm2_s1_300K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_poly_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23_release_poly_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23b_codep_contact_release_bare_qm2_s1_300K,3691,1845.5,1845.0,274.20903559,370,370,370,2.6984946235985485,2.6984946235985485,2.5636585811000003,1,1,1,1,1,2.5087652849625357,3.8158747568121805,0.142747,0.207,-0.118751,0.06375,2.5516130868869444,3.1044486594318497,2.5516130868869444,3.1044486594318497,2.4597517609000015,2.9269094372000026,1,0,160,160,0.0,1845.0,1845.0,240.0,1730.0,1845.0,115.0,160,160,0.0,1845.0,1845.0,240.0,1730.0,1845.0,115.0,333,333,0.0,1845.0,1845.0,915.0,1465.0,1845.0,380.0,301,0.0,1845.0,1845.0,740.0,1465.0,1845.0,380.0,370,0.0,1845.0,1845.0,1845.0,0.0,1845.0,1845.0,True,True,True,True,True,False
t23b_codep_contact_release_bare_qm2_s2_325K,1742,871.0,870.0,303.267360635,175,175,175,2.783189680065788,2.783189680065788,2.738759162699999,1,1,1,1,1,2.3999557928899935,3.970886114321006,0.223705,0.239,-0.03779300000000002,0.107428,2.530273592037589,2.944229362996344,2.530273592037589,2.944229362996344,2.1811379311000003,2.8043990953999973,1,1,107,107,0.0,870.0,870.0,200.0,870.0,870.0,0.0,107,107,0.0,870.0,870.0,200.0,870.0,870.0,0.0,175,168,0.0,870.0,870.0,745.0,125.0,870.0,745.0,134,0.0,870.0,870.0,500.0,370.0,870.0,500.0,168,0.0,870.0,870.0,745.0,125.0,870.0,745.0,True,True,True,True,True,False
t23b_codep_contact_release_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23c_hold_bare_qm2_s1_300K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23c_hold_bare_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23c_hold_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23d_holdrelease_bare_qm2_s1_300K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23d_holdrelease_bare_qm2_s2_325K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
t23d_holdrelease_bare_qm2_s3_350K,,,nan,,0,0,0,nan,nan,nan,0,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,0,nan,nan,0.0,0.0,nan,nan,0.0,False,False,False,False,False,False
